mock_species,mock_replicate,quality_filt,classifier,sequences_classified,closeness_score,lowest_possible_closeness_score,delta_closeness_score
Asteroma_sp_CCL060,Mock1,Qmin15,Dnabarcoder,1851,4,4,0
Austropuccinia_psidii,Mock1,Qmin15,Dnabarcoder,1284,3,3,0
Botrytis_cinerea,Mock1,Qmin15,Dnabarcoder,753,2,1,1
Botrytis_fabae,Mock1,Qmin15,Dnabarcoder,776,2,1,1
Cortinarius_globuliformis_CM4,Mock1,Qmin15,Dnabarcoder,801,1,1,0
Cryptovalsa_ampelina,Mock1,Qmin15,Dnabarcoder,773,2,2,0
Diaporthe_sp_CCL067,Mock1,Qmin15,Dnabarcoder,1892,3,1,2
Entoleuca_sp_CCL052,Mock1,Qmin15,Dnabarcoder,1862,2,2,0
Erysiphe_necator,Mock1,Qmin15,Dnabarcoder,593,1,1,0
Eutypa_lata,Mock1,Qmin15,Dnabarcoder,1841,1,1,0
Fusarium_proliferatum,Mock1,Qmin15,Dnabarcoder,1133,1,1,0
Geotrichum_candidum,Mock1,Qmin15,Dnabarcoder,1898,5,1,4
Puccinia_graminis,Mock1,Qmin15,Dnabarcoder,1878,1,1,0
Puccinia_striiformis_var_tritici,Mock1,Qmin15,Dnabarcoder,1886,1,1,0
Puccinia_triticina,Mock1,Qmin15,Dnabarcoder,1886,1,1,0
Pyrenophora_tritici-repentis,Mock1,Qmin15,Dnabarcoder,1592,1,1,0
Scedosporium_boydii,Mock1,Qmin15,Dnabarcoder,1838,4,1,3
Sclerotinia_sclerotiorum,Mock1,Qmin15,Dnabarcoder,845,2,2,0
Sporisorium_scitamineum,Mock1,Qmin15,Dnabarcoder,1392,1,1,0
Asteroma_sp_CCL060,Mock1,Qmin15,Emu,1927,4,4,0
Austropuccinia_psidii,Mock1,Qmin15,Emu,1055.081259,3,3,0
Botrytis_cinerea,Mock1,Qmin15,Emu,1951,2,1,1
Botrytis_fabae,Mock1,Qmin15,Emu,1908,2,1,1
Cortinarius_globuliformis_CM4,Mock1,Qmin15,Emu,458.6223482,1,1,0
Cryptovalsa_ampelina,Mock1,Qmin15,Emu,580.3167352,2,2,0
Diaporthe_sp_CCL067,Mock1,Qmin15,Emu,1907.662155,3,1,2
Entoleuca_sp_CCL052,Mock1,Qmin15,Emu,1663.406745,2,2,0
Erysiphe_necator,Mock1,Qmin15,Emu,669.6326025,1,1,0
Eutypa_lata,Mock1,Qmin15,Emu,1903,1,1,0
Fusarium_proliferatum,Mock1,Qmin15,Emu,1210.631501,1,1,0
Geotrichum_candidum,Mock1,Qmin15,Emu,1053.677952,5,1,4
Puccinia_graminis,Mock1,Qmin15,Emu,1336.203778,1,1,0
Puccinia_striiformis_var_tritici,Mock1,Qmin15,Emu,1883.954206,1,1,0
Puccinia_triticina,Mock1,Qmin15,Emu,1023.399463,6,1,5
Pyrenophora_tritici-repentis,Mock1,Qmin15,Emu,1537.23193,1,1,0
Scedosporium_boydii,Mock1,Qmin15,Emu,605.5175704,4,1,3
Sclerotinia_sclerotiorum,Mock1,Qmin15,Emu,1941,2,2,0
Sporisorium_scitamineum,Mock1,Qmin15,Emu,1358.781915,1,1,0
Asteroma_sp_CCL060,Mock1,Qmin15,Kraken2,1817,4,4,0
Austropuccinia_psidii,Mock1,Qmin15,Kraken2,1361,3,3,0
Botrytis_cinerea,Mock1,Qmin15,Kraken2,1642,2,1,1
Botrytis_fabae,Mock1,Qmin15,Kraken2,1596,2,1,1
Cortinarius_globuliformis_CM4,Mock1,Qmin15,Kraken2,500,3,1,2
Cryptovalsa_ampelina,Mock1,Qmin15,Kraken2,1407,2,2,0
Diaporthe_sp_CCL067,Mock1,Qmin15,Kraken2,1918,3,1,2
Entoleuca_sp_CCL052,Mock1,Qmin15,Kraken2,1803,2,2,0
Erysiphe_necator,Mock1,Qmin15,Kraken2,1286,1,1,0
Eutypa_lata,Mock1,Qmin15,Kraken2,1819,1,1,0
Fusarium_proliferatum,Mock1,Qmin15,Kraken2,25,1,1,0
Geotrichum_candidum,Mock1,Qmin15,Kraken2,1904,5,1,4
Puccinia_graminis,Mock1,Qmin15,Kraken2,1709,1,1,0
Puccinia_striiformis_var_tritici,Mock1,Qmin15,Kraken2,1894,1,1,0
Puccinia_triticina,Mock1,Qmin15,Kraken2,1814,1,1,0
Pyrenophora_tritici-repentis,Mock1,Qmin15,Kraken2,1641,1,1,0
Scedosporium_boydii,Mock1,Qmin15,Kraken2,1868,4,1,3
Sclerotinia_sclerotiorum,Mock1,Qmin15,Kraken2,1597,2,2,0
Sporisorium_scitamineum,Mock1,Qmin15,Kraken2,858,1,1,0
Asteroma_sp_CCL060,Mock1,Qmin15,minimap2,1850,4,4,0
Austropuccinia_psidii,Mock1,Qmin15,minimap2,1370,5,3,2
Botrytis_cinerea,Mock1,Qmin15,minimap2,1429,5,1,4
Botrytis_fabae,Mock1,Qmin15,minimap2,1339,5,1,4
Cortinarius_globuliformis_CM4,Mock1,Qmin15,minimap2,484,4,1,3
Cryptovalsa_ampelina,Mock1,Qmin15,minimap2,518,5,2,3
Diaporthe_sp_CCL067,Mock1,Qmin15,minimap2,1030,3,1,2
Entoleuca_sp_CCL052,Mock1,Qmin15,minimap2,1202,5,2,3
Erysiphe_necator,Mock1,Qmin15,minimap2,996,5,1,4
Eutypa_lata,Mock1,Qmin15,minimap2,525,5,1,4
Fusarium_proliferatum,Mock1,Qmin15,minimap2,406,1,1,0
Geotrichum_candidum,Mock1,Qmin15,minimap2,1838,5,1,4
Puccinia_graminis,Mock1,Qmin15,minimap2,309,5,1,4
Puccinia_striiformis_var_tritici,Mock1,Qmin15,minimap2,1571,1,1,0
Puccinia_triticina,Mock1,Qmin15,minimap2,398,1,1,0
Pyrenophora_tritici-repentis,Mock1,Qmin15,minimap2,285,5,1,4
Scedosporium_boydii,Mock1,Qmin15,minimap2,1513,4,1,3
Sclerotinia_sclerotiorum,Mock1,Qmin15,minimap2,1341,5,2,3
Sporisorium_scitamineum,Mock1,Qmin15,minimap2,1423,2,1,1
Asteroma_sp_CCL060,Mock1,Qmin17,Dnabarcoder,1866,4,4,0
Austropuccinia_psidii,Mock1,Qmin17,Dnabarcoder,1360,3,3,0
Botrytis_cinerea,Mock1,Qmin17,Dnabarcoder,746,1,1,0
Botrytis_fabae,Mock1,Qmin17,Dnabarcoder,760,2,1,1
Cortinarius_globuliformis_CM4,Mock1,Qmin17,Dnabarcoder,939,1,1,0
Cryptovalsa_ampelina,Mock1,Qmin17,Dnabarcoder,899,2,2,0
Diaporthe_sp_CCL067,Mock1,Qmin17,Dnabarcoder,1904,3,1,2
Entoleuca_sp_CCL052,Mock1,Qmin17,Dnabarcoder,1854,2,2,0
Erysiphe_necator,Mock1,Qmin17,Dnabarcoder,666,1,1,0
Eutypa_lata,Mock1,Qmin17,Dnabarcoder,1846,1,1,0
Fusarium_proliferatum,Mock1,Qmin17,Dnabarcoder,1189,1,1,0
Geotrichum_candidum,Mock1,Qmin17,Dnabarcoder,1919,5,1,4
Puccinia_graminis,Mock1,Qmin17,Dnabarcoder,1905,1,1,0
Puccinia_striiformis_var_tritici,Mock1,Qmin17,Dnabarcoder,1886,1,1,0
Puccinia_triticina,Mock1,Qmin17,Dnabarcoder,1914,1,1,0
Pyrenophora_tritici-repentis,Mock1,Qmin17,Dnabarcoder,1566,1,1,0
Scedosporium_boydii,Mock1,Qmin17,Dnabarcoder,1857,4,1,3
Sclerotinia_sclerotiorum,Mock1,Qmin17,Dnabarcoder,887,2,2,0
Sporisorium_scitamineum,Mock1,Qmin17,Dnabarcoder,1486,1,1,0
Asteroma_sp_CCL060,Mock1,Qmin17,Emu,1933,4,4,0
Austropuccinia_psidii,Mock1,Qmin17,Emu,1087.68073,3,3,0
Botrytis_cinerea,Mock1,Qmin17,Emu,1948,2,1,1
Botrytis_fabae,Mock1,Qmin17,Emu,1903,2,1,1
Cortinarius_globuliformis_CM4,Mock1,Qmin17,Emu,534.8047423,1,1,0
Cryptovalsa_ampelina,Mock1,Qmin17,Emu,703.9604542,2,2,0
Diaporthe_sp_CCL067,Mock1,Qmin17,Emu,1924.860002,3,1,2
Entoleuca_sp_CCL052,Mock1,Qmin17,Emu,1739.043172,2,2,0
Erysiphe_necator,Mock1,Qmin17,Emu,787.0854637,1,1,0
Eutypa_lata,Mock1,Qmin17,Emu,1894,1,1,0
Fusarium_proliferatum,Mock1,Qmin17,Emu,1267.513286,1,1,0
Geotrichum_candidum,Mock1,Qmin17,Emu,1076.248661,5,1,4
Puccinia_graminis,Mock1,Qmin17,Emu,1365.421172,1,1,0
Puccinia_striiformis_var_tritici,Mock1,Qmin17,Emu,1881.421359,1,1,0
Puccinia_triticina,Mock1,Qmin17,Emu,1123.165138,6,1,5
